County,Date,Count
Columbia,2020-08-12,1
Columbia,2020-08-13,2
Columbia,2020-08-14,2
Columbia,2020-08-15,1
Columbia,2020-08-16,1
Columbia,2020-08-17,1
Columbia,2020-08-18,3
Columbia,2020-08-19,1
Columbia,2020-08-26,1
Columbia,2020-08-28,1
Columbia,2020-08-31,1
Columbia,2020-09-01,1
Columbia,2020-09-04,1
Columbia,2020-09-07,2
Columbia,2020-09-09,1
Columbia,2020-09-12,1
Columbia,2020-09-13,1
Columbia,2020-09-19,1
Columbia,2020-09-28,3
Columbia,2020-09-29,1
Columbia,2020-10-01,1
Columbia,2020-10-07,1
Columbia,2020-10-08,1
Columbia,2020-10-10,2
Columbia,2020-10-12,1
Columbia,2020-10-21,2
Columbia,2020-10-26,1
Columbia,2020-10-27,2
Columbia,2020-10-28,1
Dade,2020-03-16,1
Dade,2020-03-17,1
Dade,2020-03-20,2
Dade,2020-03-22,6
Dade,2020-03-24,4
Dade,2020-03-25,6
Dade,2020-03-26,3
Dade,2020-03-27,11
Dade,2020-03-28,10
Dade,2020-03-29,20
Dade,2020-03-30,14
Dade,2020-03-31,18
